subject_id,gender,height,weight,thigh,calf,arm,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
sizkorea_f368,F,155.0,50.9,55.1,33.8,27.7,28.599999999999994,,,,,,
sizkorea_f369,F,165.5,55.0,52.8,34.4,27.2,32.7,,,,,,
sizkorea_f374,F,160.9,54.1,53.5,32.7,26.5,28.89999999999999,,,,,,
sizkorea_f376,F,166.1,70.1,57.8,36.8,32.3,30.8,,,,,,
sizkorea_f385,F,160.5,64.7,59.0,37.5,30.4,26.9,,,,,,
sizkorea_f394,F,162.9,57.6,57.0,35.3,26.7,30.8,,,,,,
sizkorea_f396,F,159.1,53.6,51.8,34.8,27.4,27.8,,,,,,
sizkorea_f398,F,155.4,52.1,53.6,33.2,27.7,29.0,,,,,,
sizkorea_f405,F,158.2,54.5,57.4,33.5,27.8,30.599999999999994,,,,,,
sizkorea_f408,F,163.1,56.3,51.0,33.3,29.0,30.8,,,,,,
sizkorea_m012,M,177.9,78.4,60.9,39.5,32.4,26.999999999999996,,,,,,
sizkorea_m018,M,174.6,68.7,58.1,37.7,30.3,27.5,,,,,,
sizkorea_m019,M,165.9,65.4,50.1,35.0,30.8,31.90000000000001,,,,,,
sizkorea_m021,M,169.3,56.4,45.8,33.9,26.7,31.7,,,,,,
sizkorea_m023,M,172.8,56.3,47.0,34.8,26.9,31.099999999999994,,,,,,
sizkorea_m025,M,165.8,85.5,65.7,42.1,36.2,26.7,,,,,,
sizkorea_m030,M,170.8,76.9,93.7,39.0,35.3,26.000000000000007,,,,,,
sizkorea_m034,M,165.0,73.1,59.2,39.0,35.3,25.599999999999994,,,,,,
sizkorea_m035,M,166.0,46.6,46.0,33.2,23.5,-50.0,,,,,,
sizkorea_m036,M,166.2,53.6,48.0,33.9,26.0,26.3,,,,,,
sizkorea_m043,M,180.9,57.3,50.0,33.0,26.3,35.39999999999999,,,,,,
sizkorea_m044,M,170.0,58.1,50.2,36.0,29.2,29.8,,,,,,
sizkorea_m046,M,160.4,69.6,58.2,38.4,32.9,26.40000000000001,,,,,,
sizkorea_m050,M,165.7,59.7,53.7,35.9,31.7,26.800000000000004,,,,,,
sizkorea_m057,M,169.0,75.0,57.9,39.5,34.3,32.4,,,,,,
sizkorea_m058,M,174.5,75.0,58.0,40.6,33.0,27.9,,,,,,
sizkorea_m060,M,169.0,65.2,57.0,38.4,30.6,28.8,,,,,,
sizkorea_m064,M,165.7,64.1,54.8,37.8,30.5,28.7,,,,,,
sizkorea_m071,M,172.7,67.3,56.3,37.5,32.6,26.10000000000001,,,,,,
sizkorea_m072,M,164.3,66.2,55.1,38.7,31.1,30.500000000000007,,,,,,
sizkorea_m076,M,164.6,69.2,58.0,37.0,33.5,29.500000000000007,,,,,,
sizkorea_m077,M,174.1,56.9,47.4,34.1,26.4,29.2,,,,,,
sizkorea_m083,M,169.7,64.5,52.3,35.5,32.3,30.700000000000003,,,,,,
sizkorea_m084,M,173.3,62.2,52.6,34.0,30.8,31.000000000000007,,,,,,
sizkorea_m086,M,176.7,55.8,47.0,35.9,25.9,32.60000000000001,,,,,,
sizkorea_m088,M,163.1,74.0,59.1,37.0,35.4,29.2,,,,,,
sizkorea_m090,M,178.5,85.6,61.3,41.0,34.5,31.200000000000003,,,,,,
sizkorea_m093,M,170.6,63.6,48.4,34.0,31.5,30.500000000000007,,,,,,
sizkorea_m094,M,168.1,68.4,55.7,37.5,30.5,29.800000000000004,,,,,,
sizkorea_m095,M,172.8,65.8,50.5,35.9,28.1,29.40000000000001,,,,,,
sizkorea_m099,M,175.6,53.4,47.5,33.3,26.4,31.90000000000001,,,,,,
sizkorea_m116,M,172.6,73.8,58.3,37.9,31.9,30.500000000000007,,,,,,
sizkorea_m119,M,165.6,68.4,59.8,37.1,34.7,29.39999999999999,,,,,,
sizkorea_m120,M,165.2,76.4,58.2,35.8,33.6,33.00000000000001,,,,,,
sizkorea_m133,M,175.4,76.8,58.6,39.8,31.2,34.400000000000006,,,,,,
sizkorea_m138,M,168.4,58.8,52.4,32.4,29.8,33.300000000000004,,,,,,
sizkorea_m143,M,169.5,55.7,45.9,35.4,26.3,27.700000000000003,,,,,,
sizkorea_m149,M,173.6,57.6,47.3,34.7,26.3,31.7,,,,,,
sizkorea_m151,M,172.9,71.7,53.9,37.5,32.2,32.3,,,,,,
sizkorea_m156,M,172.2,66.0,52.5,35.1,31.2,33.4,,,,,,
sizkorea_m158,M,177.9,77.8,56.0,39.8,32.0,27.60000000000001,,,,,,
sizkorea_m160,M,166.0,60.7,52.6,36.1,28.2,31.099999999999994,,,,,,
sizkorea_m163,M,170.9,54.5,46.7,32.2,25.0,29.5,,,,,,
sizkorea_m164,M,166.7,72.9,56.2,37.5,32.3,31.2,,,,,,
sizkorea_m168,M,176.2,67.5,53.0,34.8,29.9,32.6,,,,,,
sizkorea_m170,M,174.8,70.2,53.0,36.3,32.0,29.200000000000003,,,,,,
sizkorea_m173,M,172.3,62.6,51.5,33.3,29.0,33.300000000000004,,,,,,
sizkorea_m176,M,171.2,76.5,61.5,37.9,35.7,29.800000000000004,,,,,,
sizkorea_m178,M,168.5,59.5,52.1,34.1,29.5,31.3,,,,,,
sizkorea_m181,M,165.4,60.5,52.0,36.2,28.6,28.500000000000007,,,,,,
sizkorea_m184,M,167.7,68.8,57.0,37.4,33.4,31.39999999999999,,,,,,
sizkorea_m187,M,165.0,57.6,53.9,34.7,28.0,30.700000000000003,,,,,,
sizkorea_m189,M,179.5,66.4,54.0,36.0,30.1,30.700000000000003,,,,,,
sizkorea_m195,M,158.0,60.2,53.4,36.3,28.8,32.7,,,,,,
sizkorea_m211,M,178.9,68.1,53.6,35.4,27.1,36.7,,,,,,
sizkorea_m215,M,175.1,69.0,56.0,34.8,30.8,33.400000000000006,,,,,,
sizkorea_m216,M,177.0,85.1,61.2,41.4,33.3,30.9,,,,,,
sizkorea_m221,M,170.5,58.6,48.6,33.0,28.0,32.7,,,,,,
sizkorea_m225,M,168.5,71.2,60.1,36.1,32.4,28.8,,,,,,
sizkorea_m226,M,163.5,77.1,57.3,38.1,35.1,27.8,,,,,,
sizkorea_m231,M,168.3,62.1,54.1,36.0,28.9,28.700000000000003,,,,,,
sizkorea_m242,M,167.6,74.0,56.3,33.3,33.6,29.7,,,,,,
sizkorea_m265,M,168.2,60.1,51.2,35.6,30.8,29.3,,,,,,
sizkorea_m270,M,175.1,68.4,52.8,36.2,30.3,34.00000000000001,,,,,,
sizkorea_m272,M,179.0,73.1,53.4,37.7,31.1,33.400000000000006,,,,,,
sizkorea_m279,M,168.7,63.7,57.0,35.4,29.3,31.40000000000001,,,,,,
sizkorea_m284,M,164.3,62.6,53.5,35.6,31.1,27.3,,,,,,
sizkorea_m288,M,167.4,74.6,56.7,35.6,32.6,29.40000000000001,,,,,,
sizkorea_m290,M,174.6,61.4,49.7,35.2,28.1,32.89999999999999,,,,,,
sizkorea_m292,M,177.8,64.8,50.6,35.0,29.1,35.3,,,,,,
sizkorea_m295,M,177.8,74.8,56.2,38.5,30.1,33.89999999999999,,,,,,
sizkorea_m300,M,170.4,56.9,47.1,33.6,26.9,27.4,,,,,,
sizkorea_m302,M,167.3,88.5,66.3,40.0,36.1,28.200000000000003,,,,,,
sizkorea_m309,M,165.5,57.1,50.7,32.4,27.6,26.7,,,,,,
sizkorea_m332,M,171.2,79.2,95.4,39.1,32.6,30.1,,,,,,
sizkorea_m336,M,164.7,62.5,56.5,35.3,30.3,29.099999999999994,,,,,,
sizkorea_m346,M,171.1,83.4,54.6,39.0,34.4,27.40000000000001,,,,,,
sizkorea_m356,M,179.3,81.7,60.5,38.4,35.3,31.800000000000004,,,,,,
sizkorea_m360,M,172.8,105.6,64.1,44.5,37.2,24.2,,,,,,
