subject_id,gender,height,weight,thigh_length,calf_length,torso_length,leg_length,neck_length,chest,waist,hip,thigh,calf,arm,shoulder,thigh_calf_ratio,torso_leg_ratio
M034,M,162.0,73.1,25.599999999999994,41.5,40.10000000000001,67.1,6.799999999999983,94.5,84.0,97.5,59.2,39.0,35.3,43.4,0.6168674698795179,0.5976154992548437
M035,M,160.5,46.6,-50.0,117.0,42.8,67.0,9.0,78.8,65.6,84.0,46.0,33.2,23.5,34.4,-0.42735042735042733,0.6388059701492537
M036,M,161.7,53.6,26.299999999999997,39.5,44.400000000000006,65.8,5.499999999999986,85.2,71.0,84.7,48.0,33.9,26.0,38.3,0.6658227848101265,0.6747720364741643
M043,M,178.20000000000002,57.3,35.39999999999999,45.0,44.3,80.39999999999999,7.700000000000017,80.6,68.9,85.0,50.0,33.0,26.3,39.5,0.7866666666666665,0.5509950248756219
M044,M,166.5,58.1,29.799999999999997,40.5,40.8,70.3,9.500000000000014,83.8,71.5,88.0,50.2,36.0,29.2,39.2,0.7358024691358024,0.5803698435277382
M046,M,156.6,69.6,26.400000000000006,37.2,39.5,63.60000000000001,9.700000000000017,95.6,87.5,97.6,58.2,38.4,32.9,37.4,0.7096774193548389,0.621069182389937
M050,M,161.39999999999998,59.7,26.800000000000004,38.300000000000004,43.7,65.10000000000001,6.799999999999997,87.6,74.1,89.1,53.7,35.9,31.7,39.6,0.6997389033942559,0.6712749615975422
M057,M,166.3,75.0,32.4,37.9,45.10000000000001,70.3,8.40000000000002,97.0,80.3,98.0,57.9,39.5,34.3,40.7,0.8548812664907651,0.6415362731152207
M058,M,169.7,75.0,27.9,40.6,45.80000000000001,68.5,8.299999999999969,95.2,83.9,97.5,58.0,40.6,33.0,39.7,0.687192118226601,0.6686131386861316
M060,M,164.8,65.2,28.799999999999997,42.0,45.400000000000006,70.8,6.90000000000002,88.7,78.0,94.0,57.0,38.4,30.6,39.9,0.6857142857142856,0.6412429378531075
M064,M,163.39999999999998,64.1,28.699999999999996,41.800000000000004,40.69999999999999,70.5,7.200000000000003,86.0,78.9,91.4,54.8,37.8,30.5,39.4,0.686602870813397,0.5773049645390069
