subject_id,gender,height_mm,weight_kg,shoulder_mm,chest_mm,waist_mm,hip_mm,jaw_height_mm,front_neck_height_mm,crotch_height_mm,knee_height_mm,ankle_height_mm,torso_shoulder_height_mm,pelvis_point_height_mm,leg_crotch_height_mm,leg_ankle_height_mm
8_SM_001417,F,1602,60.0,349.6,868.0,727,942,1367.6,1294.4,739.5,423.8,65.7,1293.0,849,711,65
8_SM_001418,F,1556,49.0,343.2,845.0,691,895,1330.5,1271.4,750.8,431.3,62.0,1258.0,861,724,57
8_SM_001419,F,1615,79.2,368.0,1041.0,906,1130,1385.1,1330.5,736.4,422.8,64.6,1308.0,874,729,65
8_SM_001420,F,1598,47.3,349.5,785.0,679,870,1361.8,1282.3,748.4,428.4,67.6,1286.0,875,732,59
8_SM_001421,F,1647,56.4,341.3,825.0,719,975,1405.4,1299.2,745.0,446.9,69.3,1336.0,868,728,63
8_SM_001422,F,1564,50.2,343.0,879.0,698,890,1327.5,1272.2,709.91,420.5,64.7,1255.0,825,702,60
8_SM_001423,F,1629,81.6,381.3,1088.0,995,1069,1392.2,1323.9,720.8,425.4,61.5,1312.0,851,703,55
8_SM_001424,F,1658,65.1,362.1,904.0,754,990,1428.4,1347.2,775.2,445.8,73.1,1343.0,753,708,67
8_SM_001425,F,1606,48.6,343.5,795.0,657,874,1385.5,1311.1,761.1,430.8,66.8,1297.0,881,745,62
8_SM_001426,F,1589,66.3,354.7,960.0,852,946,1368.3,1290.4,740.1,426.6,64.0,1304.0,850,720,59
8_SM_001427,F,1539,54.1,343.8,844.0,695,938,1318.0,1243.2,678.5,411.1,67.9,1237.0,791,673,60
8_SM_001428,F,1562,56.1,331.2,843.0,747,958,1336.5,1275.8,714.6,423.9,61.4,1281.0,828,698,57
8_SM_001429,F,1626,51.4,332.5,795.0,704,886,1381.7,1317.7,773.2,426.3,70.8,1333.0,864,748,66
8_SM_001430,F,1627,54.4,340.9,848.0,700,898,1410.0,1353.1,762.7,443.9,64.0,1319.0,866,747,62
8_SM_001431,F,1529,42.2,337.8,763.0,704,850,1307.0,1222.3,697.9,409.7,53.6,1214.0,821,680,50
8_SM_001432,F,1650,58.5,365.7,863.0,749,931,1416.9,1355.2,762.9,433.0,66.1,1328.0,888,745,59
8_SM_001433,F,1605,56.0,332.9,861.0,755,919,1370.4,1318.0,738.4,443.4,64.8,1319.0,854,720,60
8_SM_001434,F,1640,63.1,346.1,910.0,810,992,1400.3,1336.3,747.4,448.8,65.4,1320.0,874,723,60
8_SM_001435,F,1655,67.2,356.5,948.0,820,994,1433.3,1362.9,734.8,435.5,66.7,1357.0,877,736,61
8_SM_001436,F,1543,82.1,359.1,1099.0,968,1120,1320.2,1265.3,722.7,408.9,65.9,1264.0,847,713,61
8_SM_001437,F,1627,47.5,334.4,808.0,639,869,1396.0,1331.5,763.4,433.8,70.8,1307.0,881,743,66
8_SM_001438,F,1637,52.4,383.1,838.0,687,890,1390.3,1312.4,761.2,430.3,65.0,1278.0,876,747,62
8_SM_001439,F,1568,61.1,328.8,918.0,818,973,1341.3,1277.6,720.5,421.2,65.8,1287.0,853,712,61
8_SM_001440,F,1671,69.4,370.6,969.0,840,985,1447.6,1364.7,751.4,459.7,61.2,1360.0,901,750,55
8_SM_001441,F,1644,65.1,374.9,947.0,770,1006,1421.8,1338.5,754.5,439.1,70.7,1332.0,897,753,65
8_SM_001442,F,1543,50.8,332.0,837.0,734,880,1316.3,1264.0,716.9,427.4,61.9,1244.0,832,698,60
8_SM_001443,F,1586,47.7,342.5,743.0,649,908,1371.8,1281.5,727.1,427.7,61.3,1274.0,848,718,61
8_SM_001444,F,1585,45.7,345.9,784.0,661,856,1359.9,1292.9,773.2,436.1,62.2,1296.0,888,752,61
8_SM_001445,F,1519,44.4,342.5,777.0,654,864,1283.9,1220.1,688.3,404.7,64.6,1216.0,817,676,60
8_SM_001446,F,1637,54.5,315.2,852.0,720,913,1409.8,1337.5,724.8,427.9,65.0,1332.0,862,709,61
8_SM_001447,F,1574,54.2,338.6,857.0,682,917,1355.9,1286.3,705.9,405.8,60.1,1268.0,830,700,55
8_SM_001448,F,1630,58.1,335.8,877.0,760,948,1408.7,1338.4,807.5,454.1,62.7,1319.0,908,792,60
8_SM_001449,F,1670,63.5,364.1,896.0,774,992,1440.3,1364.7,781.4,461.0,67.1,1347.0,896,762,63
8_SM_001450,F,1547,49.6,329.9,850.0,715,913,1327.1,1259.1,693.6,407.3,61.9,1248.0,810,684,58
