source_row_id,subject_id,gender,height,weight,shoulder,chest,waist,hip,thigh_length,calf_length,torso_length,leg_length,neck_length,thigh_calf_ratio,torso_leg_ratio
625,8_SM_000626,F,162.6,57.4,31.98,79.2,68.0,95.6,31.130000000000003,36.970000000000006,43.2,66.8,6.159999999999991,0.842034081687855,0.6467065868263474
582,8_SM_000583,F,162.1,58.4,30.55,82.3,74.4,93.7,33.21,35.230000000000004,46.7,66.7,5.3799999999999955,0.9426625035481123,0.7001499250374813
1417,8_SM_001418,F,155.6,49.0,34.32,84.5,69.1,89.5,31.949999999999996,36.93,39.7,66.7,5.909999999999991,0.8651502843216896,0.5952023988005997
657,8_SM_000658,F,163.8,58.6,34.42,91.0,76.5,95.4,32.83,35.81,47.1,68.2,5.489999999999986,0.9167830215023736,0.690615835777126
3933,8_SM_003934,M,177.7,69.0,40.489999999999995,94.8,79.6,95.8,33.56999999999999,40.33,49.0,72.8,9.179999999999996,0.8323828415571534,0.6730769230769231
158,8_SM_000159,F,167.0,50.1,33.86,76.5,64.2,92.0,34.71,37.339999999999996,46.8,70.1,6.409999999999991,0.9295661489019819,0.6676176890156919
841,8_SM_000842,F,166.4,51.5,36.92,81.0,66.1,92.3,36.06999999999999,37.620000000000005,44.7,71.1,6.920000000000004,0.9587985114300901,0.628691983122363
898,8_SM_000899,F,158.4,61.0,36.54,90.8,86.3,100.0,29.810000000000002,36.42,44.5,64.4,6.290000000000009,0.8185063152114224,0.6909937888198757
1202,8_SM_001203,F,164.7,52.7,35.85,81.4,71.4,88.4,33.62,38.17,42.4,70.2,8.170000000000005,0.8807964369924023,0.603988603988604
2233,8_SM_002234,F,158.9,67.4,37.14,97.2,88.7,99.8,27.879999999999995,37.15,48.3,64.1,7.520000000000005,0.7504710632570658,0.7535101404056163
4389,8_SM_004390,M,157.8,66.5,38.29,98.4,94.4,96.2,27.24,36.43,42.6,62.9,7.029999999999996,0.7477353829261597,0.6772655007949125
4287,8_SM_004288,M,177.7,62.5,38.089999999999996,90.5,82.5,91.4,31.240000000000002,40.660000000000004,48.7,71.3,9.079999999999995,0.7683226758484998,0.6830294530154278
827,8_SM_000828,F,164.4,52.8,32.15,79.0,66.6,92.0,32.21999999999999,36.279,48.3,67.0,5.570000000000005,0.88811709253287,0.7208955223880597
3814,8_SM_003815,M,169.0,78.1,37.57,102.3,87.3,98.6,28.380000000000006,37.459999999999994,46.0,66.5,8.080000000000018,0.7576081153230115,0.6917293233082706
1160,8_SM_001161,F,160.5,68.6,37.22,93.5,82.6,103.0,29.55,37.18,42.6,65.2,6.289999999999987,0.7947821409359871,0.6533742331288344
3480,8_SM_003481,M,176.2,92.2,39.68,109.6,100.6,103.3,26.589999999999996,43.470000000000006,49.7,72.7,5.1,0.6116862203818724,0.6836313617606603
296,8_SM_000297,F,160.0,52.3,34.989999999999995,85.9,77.4,91.0,31.889999999999997,35.42,43.0,66.1,6.3599999999999905,0.9003387916431393,0.6505295007564297
